date,description,amount,balance
2025-09-01,Customer deposit,1398.24,16398.24
2025-09-01,Rent payment,-2500.0,13898.24
2025-09-01,Loan repayment,-800.0,13098.24
2025-09-03,Customer deposit,1398.24,14496.48
2025-09-04,Supplier payment,-707.05,13789.43
2025-09-05,Customer deposit,1398.24,15187.67
2025-09-08,Customer deposit,1398.24,16585.91
2025-09-10,Customer deposit,1398.24,17984.15
2025-09-11,Supplier payment,-740.62,17243.53
2025-09-12,Customer deposit,1398.24,18641.77
2025-09-15,Customer deposit,1398.24,20040.01
2025-09-17,Customer deposit,1398.24,21438.25
2025-09-18,Supplier payment,-1042.39,20395.86
2025-09-19,Customer deposit,1398.24,21794.1
2025-09-22,Customer deposit,1398.24,23192.34
2025-09-24,Customer deposit,1398.24,24590.58
2025-09-25,Payroll,-7000.0,17590.58
2025-09-25,Supplier payment,-1009.53,16581.05
2025-09-26,Customer deposit,1398.24,17979.29
2025-09-29,Customer deposit,1398.24,19377.53
2025-10-01,Customer deposit,1464.17,20841.7
2025-10-01,Rent payment,-2500.0,18341.7
2025-10-01,Loan repayment,-800.0,17541.7
2025-10-02,Supplier payment,-601.45,16940.25
2025-10-03,Customer deposit,1464.17,18404.42
2025-10-06,Customer deposit,1464.17,19868.59
2025-10-08,Customer deposit,1464.17,21332.76
2025-10-09,Supplier payment,-1172.54,20160.22
2025-10-10,Customer deposit,1464.17,21624.39
2025-10-13,Customer deposit,1464.17,23088.56
2025-10-15,Customer deposit,1464.17,24552.73
2025-10-16,Supplier payment,-697.81,23854.92
2025-10-17,Customer deposit,1464.17,25319.09
2025-10-20,Customer deposit,1464.17,26783.26
2025-10-22,Customer deposit,1464.17,28247.43
2025-10-23,Supplier payment,-863.89,27383.54
2025-10-24,Customer deposit,1464.17,28847.71
2025-10-25,Payroll,-7000.0,21847.71
2025-10-27,Customer deposit,1464.17,23311.88
2025-10-29,Customer deposit,1464.17,24776.05
2025-10-30,Supplier payment,-621.23,24154.82
2025-10-31,Customer deposit,1464.17,25618.99
2025-11-01,Rent payment,-2500.0,23118.99
2025-11-01,Loan repayment,-800.0,22318.99
2025-11-03,Customer deposit,1368.84,23687.83
2025-11-05,Customer deposit,1368.84,25056.67
2025-11-06,Supplier payment,-1080.95,23975.72
2025-11-07,Customer deposit,1368.84,25344.56
2025-11-10,Customer deposit,1368.84,26713.4
2025-11-12,Customer deposit,1368.84,28082.24
2025-11-13,Supplier payment,-904.25,27177.99
2025-11-14,Customer deposit,1368.84,28546.83
2025-11-17,Customer deposit,1368.84,29915.67
2025-11-19,Customer deposit,1368.84,31284.51
2025-11-20,Supplier payment,-747.6,30536.91
2025-11-21,Customer deposit,1368.84,31905.75
2025-11-24,Customer deposit,1368.84,33274.59
2025-11-25,Payroll,-7000.0,26274.59
2025-11-26,Customer deposit,1368.84,27643.43
2025-11-27,Supplier payment,-862.2,26781.23
2025-11-28,Customer deposit,1368.84,28150.07
2025-12-01,Customer deposit,1576.04,29726.11
2025-12-01,Rent payment,-2500.0,27226.11
2025-12-01,Loan repayment,-800.0,26426.11
2025-12-03,Customer deposit,1576.04,28002.15
2025-12-04,Supplier payment,-925.13,27077.02
2025-12-05,Customer deposit,1576.04,28653.06
2025-12-08,Customer deposit,1576.04,30229.1
2025-12-10,Customer deposit,1576.04,31805.14
2025-12-11,Supplier payment,-593.38,31211.76
2025-12-12,Customer deposit,1576.04,32787.8
2025-12-15,Customer deposit,1576.04,34363.84
2025-12-17,Customer deposit,1576.04,35939.88
2025-12-18,Supplier payment,-950.49,34989.39
2025-12-19,Customer deposit,1576.04,36565.43
2025-12-22,Customer deposit,1576.04,38141.47
2025-12-24,Customer deposit,1576.04,39717.51
2025-12-25,Payroll,-7000.0,32717.51
2025-12-25,Supplier payment,-1063.92,31653.59
2025-12-26,Customer deposit,1576.04,33229.63
2025-12-29,Customer deposit,1576.04,34805.67
2025-12-31,Customer deposit,1576.04,36381.71
2026-01-01,Rent payment,-2500.0,33881.71
2026-01-01,Loan repayment,-800.0,33081.71
2026-01-01,Supplier payment,-815.86,32265.85
2026-01-02,Customer deposit,1500.27,33766.12
2026-01-05,Customer deposit,1500.27,35266.39
2026-01-07,Customer deposit,1500.27,36766.66
2026-01-08,Supplier payment,-940.37,35826.29
