date,description,amount,balance
2025-09-01,Customer deposit,1161.34,7161.34
2025-09-01,Rent payment,-2600.0,4561.34
2025-09-01,Loan repayment,-1800.0,2761.34
2025-09-03,Customer deposit,1161.34,3922.68
2025-09-04,Supplier payment,-606.08,3316.6
2025-09-05,Customer deposit,1161.34,4477.94
2025-09-08,Customer deposit,1161.34,5639.28
2025-09-10,Customer deposit,1161.34,6800.62
2025-09-11,Supplier payment,-724.52,6076.1
2025-09-12,Customer deposit,1161.34,7237.44
2025-09-15,Customer deposit,1161.34,8398.78
2025-09-17,Customer deposit,1161.34,9560.12
2025-09-18,Supplier payment,-903.13,8656.99
2025-09-19,Customer deposit,1161.34,9818.33
2025-09-22,Customer deposit,1161.34,10979.67
2025-09-24,Customer deposit,1161.34,12141.01
2025-09-25,Payroll,-6000.0,6141.01
2025-09-25,Supplier payment,-641.49,5499.52
2025-09-26,Customer deposit,1161.34,6660.86
2025-09-29,Customer deposit,1161.34,7822.2
2025-10-01,Customer deposit,1098.32,8920.52
2025-10-01,Rent payment,-2600.0,6320.52
2025-10-01,Loan repayment,-1800.0,4520.52
2025-10-02,Supplier payment,-723.58,3796.94
2025-10-03,Customer deposit,1098.32,4895.26
2025-10-06,Customer deposit,1098.32,5993.58
2025-10-08,Customer deposit,1098.32,7091.9
2025-10-09,Supplier payment,-686.1,6405.8
2025-10-10,Customer deposit,1098.32,7504.12
2025-10-13,Customer deposit,1098.32,8602.44
2025-10-15,Customer deposit,1098.32,9700.76
2025-10-16,Supplier payment,-650.45,9050.31
2025-10-17,Customer deposit,1098.32,10148.63
2025-10-20,Customer deposit,1098.32,11246.95
2025-10-22,Customer deposit,1098.32,12345.27
2025-10-23,Supplier payment,-846.81,11498.46
2025-10-24,Customer deposit,1098.32,12596.78
2025-10-25,Payroll,-6000.0,6596.78
2025-10-27,Customer deposit,1098.32,7695.1
2025-10-29,Customer deposit,1098.32,8793.42
2025-10-30,Supplier payment,-616.78,8176.64
2025-10-31,Customer deposit,1098.32,9274.96
2025-11-01,Rent payment,-2600.0,6674.96
2025-11-01,Loan repayment,-1800.0,4874.96
2025-11-03,Customer deposit,1124.14,5999.1
2025-11-05,Customer deposit,1124.14,7123.24
2025-11-06,Supplier payment,-588.02,6535.22
2025-11-07,Customer deposit,1124.14,7659.36
2025-11-10,Customer deposit,1124.14,8783.5
2025-11-12,Customer deposit,1124.14,9907.64
2025-11-13,Supplier payment,-644.05,9263.59
2025-11-14,Customer deposit,1124.14,10387.73
2025-11-17,Customer deposit,1124.14,11511.87
2025-11-19,Customer deposit,1124.14,12636.01
2025-11-20,Supplier payment,-991.43,11644.58
2025-11-21,Customer deposit,1124.14,12768.72
2025-11-24,Customer deposit,1124.14,13892.86
2025-11-25,Payroll,-6000.0,7892.86
2025-11-26,Customer deposit,1124.14,9017.0
2025-11-27,Supplier payment,-564.5,8452.5
2025-11-28,Customer deposit,1124.14,9576.64
2025-12-01,Customer deposit,1338.17,10914.81
2025-12-01,Rent payment,-2600.0,8314.81
2025-12-01,Loan repayment,-1800.0,6514.81
2025-12-03,Customer deposit,1338.17,7852.98
2025-12-04,Supplier payment,-578.56,7274.42
2025-12-05,Customer deposit,1338.17,8612.59
2025-12-08,Customer deposit,1338.17,9950.76
2025-12-10,Customer deposit,1338.17,11288.93
2025-12-11,Supplier payment,-762.86,10526.07
2025-12-12,Customer deposit,1338.17,11864.24
2025-12-15,Customer deposit,1338.17,13202.41
2025-12-17,Customer deposit,1338.17,14540.58
2025-12-18,Supplier payment,-679.59,13860.99
2025-12-19,Customer deposit,1338.17,15199.16
2025-12-22,Customer deposit,1338.17,16537.33
2025-12-24,Customer deposit,1338.17,17875.5
2025-12-25,Payroll,-6000.0,11875.5
2025-12-25,Supplier payment,-572.19,11303.31
2025-12-26,Customer deposit,1338.17,12641.48
2025-12-29,Customer deposit,1338.17,13979.65
2025-12-31,Customer deposit,1338.17,15317.82
2026-01-01,Rent payment,-2600.0,12717.82
2026-01-01,Loan repayment,-1800.0,10917.82
2026-01-01,Supplier payment,-903.61,10014.21
2026-01-02,Customer deposit,1180.06,11194.27
2026-01-05,Customer deposit,1180.06,12374.33
2026-01-07,Customer deposit,1180.06,13554.39
2026-01-08,Supplier payment,-663.22,12891.17
2026-01-09,Customer deposit,1180.06,14071.23
2026-01-12,Customer deposit,1180.06,15251.29
2026-01-14,Customer deposit,1180.06,16431.35
2026-01-15,Supplier payment,-762.1,15669.25
2026-01-16,Customer deposit,1180.06,16849.31
2026-01-19,Customer deposit,1180.06,18029.37
2026-01-21,Customer deposit,1180.06,19209.43
2026-01-22,Supplier payment,-858.27,18351.16
2026-01-23,Customer deposit,1180.06,19531.22
2026-01-25,Payroll,-6000.0,13531.22
2026-01-26,Customer deposit,1180.06,14711.28
2026-01-28,Customer deposit,1180.06,15891.34
2026-01-29,Supplier payment,-640.95,15250.39
2026-01-30,Customer deposit,1180.06,16430.45
2026-02-01,Rent payment,-2600.0,13830.45
2026-02-01,Loan repayment,-1800.0,12030.45
2026-02-02,Customer deposit,1148.82,13179.27
2026-02-04,Customer deposit,1148.82,14328.09
2026-02-05,Supplier payment,-661.18,13666.91
2026-02-06,Customer deposit,1148.82,14815.73
2026-02-09,Customer deposit,1148.82,15964.55
2026-02-11,Customer deposit,1148.82,17113.37
2026-02-12,Supplier payment,-417.07,16696.3
2026-02-13,Customer deposit,1148.82,17845.12
2026-02-16,Customer deposit,1148.82,18993.94
2026-02-18,Customer deposit,1148.82,20142.76
2026-02-19,Supplier payment,-738.62,19404.14
2026-02-20,Customer deposit,1148.82,20552.96
2026-02-23,Customer deposit,1148.82,21701.78
2026-02-25,Customer deposit,1148.82,22850.6
2026-02-25,Payroll,-6000.0,16850.6
2026-02-26,Supplier payment,-760.99,16089.61
2026-02-27,Customer deposit,1148.82,17238.43
