date,description,amount,balance
2025-09-01,Customer deposit,169.23,1669.23
2025-09-01,Rent payment,-3200.0,-1530.77
2025-09-01,Loan repayment,-3800.0,-5330.77
2025-09-03,Customer deposit,169.23,-5161.54
2025-09-04,Supplier payment,-1354.45,-6515.99
2025-09-05,Customer deposit,169.23,-6346.76
2025-09-08,Customer deposit,169.23,-6177.53
2025-09-10,Customer deposit,169.23,-6008.3
2025-09-11,Supplier payment,-767.83,-6776.13
2025-09-12,Customer deposit,169.23,-6606.9
2025-09-15,Customer deposit,169.23,-6437.67
2025-09-17,Customer deposit,169.23,-6268.44
2025-09-18,Supplier payment,-678.59,-6947.03
2025-09-19,Customer deposit,169.23,-6777.8
2025-09-22,Customer deposit,169.23,-6608.57
2025-09-24,Customer deposit,169.23,-6439.34
2025-09-25,Payroll,-7500.0,-13939.34
2025-09-25,Supplier payment,-1157.85,-15097.19
2025-09-26,Customer deposit,169.23,-14927.96
2025-09-29,Customer deposit,169.23,-14758.73
2025-10-01,Customer deposit,880.22,-13878.51
2025-10-01,Rent payment,-3200.0,-17078.51
2025-10-01,Loan repayment,-3800.0,-20878.51
2025-10-02,Supplier payment,-1218.03,-22096.54
2025-10-03,Customer deposit,880.22,-21216.32
2025-10-06,Customer deposit,880.22,-20336.1
2025-10-08,Customer deposit,880.22,-19455.88
2025-10-09,Supplier payment,-992.57,-20448.45
2025-10-10,Customer deposit,880.22,-19568.23
2025-10-13,Customer deposit,880.22,-18688.01
2025-10-15,Customer deposit,880.22,-17807.79
2025-10-16,Supplier payment,-593.61,-18401.4
2025-10-17,Customer deposit,880.22,-17521.18
2025-10-20,Customer deposit,880.22,-16640.96
2025-10-22,Customer deposit,880.22,-15760.74
2025-10-23,Supplier payment,-774.58,-16535.32
2025-10-24,Customer deposit,880.22,-15655.1
2025-10-25,Payroll,-7500.0,-23155.1
2025-10-27,Customer deposit,880.22,-22274.88
2025-10-29,Customer deposit,880.22,-21394.66
2025-10-30,Supplier payment,-1142.8,-22537.46
2025-10-31,Customer deposit,880.22,-21657.24
2025-11-01,Rent payment,-3200.0,-24857.24
2025-11-01,Loan repayment,-3800.0,-28657.24
2025-11-03,Customer deposit,884.19,-27773.05
2025-11-05,Customer deposit,884.19,-26888.86
2025-11-06,Supplier payment,-1106.88,-27995.74
2025-11-07,Customer deposit,884.19,-27111.55
2025-11-10,Customer deposit,884.19,-26227.36
2025-11-12,Customer deposit,884.19,-25343.17
2025-11-13,Supplier payment,-1019.2,-26362.37
2025-11-14,Customer deposit,884.19,-25478.18
2025-11-17,Customer deposit,884.19,-24593.99
2025-11-19,Customer deposit,884.19,-23709.8
2025-11-20,Supplier payment,-788.06,-24497.86
2025-11-21,Customer deposit,884.19,-23613.67
2025-11-24,Customer deposit,884.19,-22729.48
2025-11-25,Payroll,-7500.0,-30229.48
2025-11-26,Customer deposit,884.19,-29345.29
2025-11-27,Supplier payment,-820.88,-30166.17
2025-11-28,Customer deposit,884.19,-29281.98
2025-12-01,Customer deposit,2124.51,-27157.47
2025-12-01,Rent payment,-3200.0,-30357.47
2025-12-01,Loan repayment,-3800.0,-34157.47
2025-12-03,Customer deposit,2124.51,-32032.96
2025-12-04,Supplier payment,-977.1,-33010.06
2025-12-05,Customer deposit,2124.51,-30885.55
2025-12-08,Customer deposit,2124.51,-28761.04
2025-12-10,Customer deposit,2124.51,-26636.53
2025-12-11,Supplier payment,-1080.76,-27717.29
2025-12-12,Customer deposit,2124.51,-25592.78
2025-12-15,Customer deposit,2124.51,-23468.27
2025-12-17,Customer deposit,2124.51,-21343.76
2025-12-18,Supplier payment,-1238.06,-22581.82
